"" "subject_ID" "tissue" "days"
"8292044049_L" 8292044049 "axillary_LN" 7
"8381688093_C" 8381688093 "mesenteric_LN" 7
"8381688093_F" 8381688093 "genital_pelvic_LN" 7
"8381688093_G" 8381688093 "Colon" 7
"8909358001_B" 8909358001 "Tonsil" 7
"8909358001_C" 8909358001 "Blood" 7
"8909358001_I" 8909358001 "Colon" 7
"8909358002_B" 8909358002 "axillary_LN" 7
"8909358002_D" 8909358002 "Jejunum" 3
"8909358002_K" 8909358002 "Blood" 3
"8909358005_D" 8909358005 "mesenteric_LN" 7
"8909358005_F" 8909358005 "Jejunum" 7
"8909358005_G" 8909358005 "Tonsil" 3
"8909358005_K" 8909358005 "Blood" 7
"8909358006_E" 8909358006 "genital_pelvic_LN" 3
"8909358006_F" 8909358006 "Jejunum" 7
"8909358006_G" 8909358006 "Tonsil" 7
"8909358006_H" 8909358006 "mesenteric_LN" 3
"8909358007_A" 8909358007 "Jejunum" 7
"8909358007_C" 8909358007 "Jejunum" 10
"8909358007_L" 8909358007 "Jejunum" 7
"8909358010_D" 8909358010 "Colon" 7
"8909358010_J" 8909358010 "genital_pelvic_LN" 7
"8909358010_L" 8909358010 "Colon" 3
"8909358013_I" 8909358013 "genital_pelvic_LN" 7
"8909358014_D" 8909358014 "axillary_LN" 7
"8909358014_G" 8909358014 "axillary_LN" 7
"8909358014_H" 8909358014 "Tonsil" 7
"8909358014_I" 8909358014 "mesenteric_LN" 7
"8909358014_L" 8909358014 "mesenteric_LN" 7
"8909358015_D" 8909358015 "genital_pelvic_LN" 10
"8909358015_G" 8909358015 "mesenteric_LN" 7
"8909358015_H" 8909358015 "Colon" 7
"8909358015_J" 8909358015 "Tonsil" 10
"8909358015_K" 8909358015 "Blood" 7
"8909358015_L" 8909358015 "Colon" 10
"8909358017_A" 8909358017 "Blood" 7
"8909358017_H" 8909358017 "Tonsil" 7
"8909358017_I" 8909358017 "Tonsil" 7
"8909358018_A" 8909358018 "Blood" 10
"8909358018_H" 8909358018 "mesenteric_LN" 10
"8909358018_J" 8909358018 "axillary_LN" 10
"8909358026_E" 8909358026 "mesenteric_LN" 7
"8909358026_F" 8909358026 "axillary_LN" 7
