subject_ID	tissue	days	
8292044049_A	8292044049	Inguinal_LN	7
8292044049_B	8292044049	Liver	7
8292044049_C	8292044049	Jejunum	7
8292044049_D	8292044049	Blood	7
8292044049_E	8292044049	Thymus	7
8292044049_F	8292044049	Tonsil	7
8292044049_G	8292044049	Ileum	7
8292044049_H	8292044049	ileocecal_LN	7
8292044049_J	8292044049	Cervix	7
8292044049_K	8292044049	Mid_Vagina	7
8292044049_L	8292044049	axillary_LN	7
8381688093_A	8381688093	Brain_Lymphocyte	7
8381688093_B	8381688093	pararectal_paracolonic	7
8381688093_C	8381688093	mesenteric_LN	7
8381688093_D	8381688093	Bone_Marrow	7
8381688093_E	8381688093	Uterus	7
8381688093_F	8381688093	genital_pelvic_LN	7
8381688093_G	8381688093	Colon	7
8381688093_H	8381688093	Rectum	7
8381688093_I	8381688093	Lung	7
8381688093_J	8381688093	Splenocytes	7
8381688093_K	8381688093	Cecum	7
8381688093_L	8381688093	Duodenum	7
8909358001_A	8909358001	Liver	7
8909358001_B	8909358001	Tonsil	7
8909358001_C	8909358001	Blood	7
8909358001_D	8909358001	Brain_lymphocytes	7
8909358001_E	8909358001	Thymus	3
8909358001_F	8909358001	Splenocytes	3
8909358001_G	8909358001	ileocecal_LN	3
8909358001_H	8909358001	Lung	7
8909358001_I	8909358001	Colon	7
8909358001_J	8909358001	Duodenum	7
8909358001_K	8909358001	Lung	3
8909358001_L	8909358001	ileocecal_LN	7
8909358002_A	8909358002	Uterus	7
8909358002_B	8909358002	axillary_LN	7
8909358002_D	8909358002	Jejunum	3
8909358002_E	8909358002	Uterus	7
8909358002_F	8909358002	Splenocytes	7
8909358002_G	8909358002	Uterus	3
8909358002_H	8909358002	Duodenum	3
8909358002_I	8909358002	ileocecal_LN	7
8909358002_J	8909358002	Cecum	7
8909358002_K	8909358002	Blood	3
8909358002_L	8909358002	Mid_Vagina	7
8909358005_A	8909358005	Bone_Marrow	7
8909358005_B	8909358005	Mid_Vagina	7
8909358005_C	8909358005	Rectum	3
8909358005_D	8909358005	mesenteric_LN	7
8909358005_E	8909358005	Inguinal_LN	7
8909358005_F	8909358005	Jejunum	7
8909358005_G	8909358005	Tonsil	3
8909358005_H	8909358005	Cervix	7
8909358005_I	8909358005	Ileum	7
8909358005_K	8909358005	Blood	7
8909358005_L	8909358005	Rectum	7
8909358006_A	8909358006	Cervix	7
8909358006_B	8909358006	Cervix	7
8909358006_C	8909358006	pararectal_paracolonic	7
8909358006_D	8909358006	pararectal_paracolonic	7
8909358006_E	8909358006	genital_pelvic_LN	3
8909358006_F	8909358006	Jejunum	7
8909358006_G	8909358006	Tonsil	7
8909358006_H	8909358006	mesenteric_LN	3
8909358006_I	8909358006	Uterus	7
8909358006_K	8909358006	pararectal_paracolonic	3
8909358007_A	8909358007	Jejunum	7
8909358007_C	8909358007	Jejunum	10
8909358007_D	8909358007	Liver	10
8909358007_E	8909358007	Thymus	10
8909358007_F	8909358007	pararectal_paracolonic	7
8909358007_G	8909358007	Splenocytes	7
8909358007_H	8909358007	Bone_Marrow	7
8909358007_I	8909358007	Uterus	7
8909358007_J	8909358007	Lung	7
8909358007_K	8909358007	Mid_Vagina	7
8909358007_L	8909358007	Jejunum	7
8909358010_A	8909358010	ileocecal_LN	7
8909358010_B	8909358010	Duodenum	7
8909358010_D	8909358010	Colon	7
8909358010_E	8909358010	Ileum	3
8909358010_F	8909358010	Cecum	7
8909358010_G	8909358010	Lung	7
8909358010_I	8909358010	Splenocytes	7
8909358010_J	8909358010	genital_pelvic_LN	7
8909358010_K	8909358010	Brain_lymphocytes	7
8909358010_L	8909358010	Colon	3
8909358013_A	8909358013	Rectum	7
8909358013_B	8909358013	Liver	7
8909358013_C	8909358013	Liver	7
8909358013_D	8909358013	pararectal_paracolonic	7
8909358013_E	8909358013	Ileum	7
8909358013_G	8909358013	Splenocytes	10
8909358013_H	8909358013	ileocecal_LN	10
8909358013_I	8909358013	genital_pelvic_LN	7
8909358013_J	8909358013	Inguinal_LN	10
8909358013_K	8909358013	ileocecal_LN	7
8909358013_L	8909358013	Ileum	10
8909358014_A	8909358014	Inguinal_LN	7
8909358014_B	8909358014	Cecum	7
8909358014_C	8909358014	Liver	7
8909358014_D	8909358014	axillary_LN	7
8909358014_E	8909358014	CSF	7
8909358014_F	8909358014	Rectum	7
8909358014_G	8909358014	axillary_LN	7
8909358014_H	8909358014	Tonsil	7
8909358014_I	8909358014	mesenteric_LN	7
8909358014_K	8909358014	Liver	7
8909358014_L	8909358014	mesenteric_LN	7
8909358015_B	8909358015	Inguinal_LN	7
8909358015_C	8909358015	Uterus	7
8909358015_D	8909358015	genital_pelvic_LN	10
8909358015_E	8909358015	Cecum	7
8909358015_F	8909358015	Cervix	10
8909358015_G	8909358015	mesenteric_LN	7
8909358015_H	8909358015	Colon	7
8909358015_I	8909358015	Rectum	7
8909358015_J	8909358015	Tonsil	10
8909358015_K	8909358015	Blood	7
8909358015_L	8909358015	Colon	10
8909358017_A	8909358017	Blood	7
8909358017_C	8909358017	Duodenum	7
8909358017_D	8909358017	Brain_Lymphocyte	7
8909358017_F	8909358017	Bone_Marrow	7
8909358017_G	8909358017	Cecum	10
8909358017_H	8909358017	Tonsil	7
8909358017_I	8909358017	Tonsil	7
8909358017_J	8909358017	Uterus	10
8909358017_K	8909358017	Thymus	7
8909358018_A	8909358018	Blood	10
8909358018_C	8909358018	Brain_Lymphocyte	7
8909358018_D	8909358018	Duodenum	7
8909358018_E	8909358018	Cecum	7
8909358018_F	8909358018	Thymus	7
8909358018_G	8909358018	Ileum	7
8909358018_H	8909358018	mesenteric_LN	10
8909358018_J	8909358018	axillary_LN	10
8909358018_L	8909358018	Cervix	7
8909358026_A	8909358026	Duodenum	10
8909358026_B	8909358026	Cervix	7
8909358026_C	8909358026	ileocecal_LN	7
8909358026_D	8909358026	Inguinal_LN	7
8909358026_E	8909358026	mesenteric_LN	7
8909358026_F	8909358026	axillary_LN	7
8909358026_H	8909358026	Rectum	10
8909358026_I	8909358026	pararectal_paracolonic	10
8909358026_J	8909358026	Splenocytes	7
8909358026_K	8909358026	axillary_LN	7
8909358026_L	8909358026	Colon	7
8909358125_A	8909358125	Inguinal_LN	7
8909358125_B	8909358125	Ileum	7
8909358125_D	8909358125	Thymus	7
8909358125_E	8909358125	Splenocytes	7
8909358125_F	8909358125	Colon	7
8909358125_G	8909358125	Thymus	7
8909358125_H	8909358125	Bone_Marrow	7
8909358125_I	8909358125	Ileum	7
8909358125_J	8909358125	axillary_LN	3
8909358125_K	8909358125	genital_pelvic_LN	7
8909358125_L	8909358125	pararectal_paracolonic	7
8909358129_A	8909358129	Brain_lymphocytes	7
8909358129_B	8909358129	Blood	7
8909358129_C	8909358129	Bone_Marrow	3
8909358129_D	8909358129	Cervix	3
8909358129_E	8909358129	genital_pelvic_LN	7
8909358129_F	8909358129	Inguinal_LN	3
8909358129_G	8909358129	Lung	7
8909358129_H	8909358129	Duodenum	7
8909358129_I	8909358129	Thymus	7
8909358129_J	8909358129	Rectum	7
8909358129_K	8909358129	Cecum	3
8909358129_L	8909358129	Mid_Vagina	7
8909358241_A	8909358241	Duodenum	7
8909358241_B	8909358241	Splenocytes	10
8909358241_C	8909358241	Lung	7
8909358241_D	8909358241	Cervix	7
8909358241_F	8909358241	Blood	7
8909358241_G	8909358241	Rectum	10
8909358241_I	8909358241	Thymus	10
8909358241_J	8909358241	Ileum	10
8909358261_A	8909358261	Colon	10
8909358261_B	8909358261	Inguinal_LN	7
8909358261_C	8909358261	axillary_LN	7
8909358261_D	8909358261	Ileum	10
8909358261_E	8909358261	Thymus	10
8909358261_F	8909358261	Blood	10
8909358261_H	8909358261	Brain_Lymphocyte	7
8909358261_I	8909358261	Thymus	7
8909358261_J	8909358261	Lung	10
8909358261_L	8909358261	Splenocytes	7
8909358264_A	8909358264	axillary_LN	10
8909358264_B	8909358264	Brain_Lymphocyte	7
8909358264_D	8909358264	pararectal_paracolonic	7
8909358264_E	8909358264	mesenteric_LN	7
8909358264_F	8909358264	Ileum	7
8909358264_G	8909358264	Uterus	7
8909358264_H	8909358264	Ileum	7
8909358264_J	8909358264	Inguinal_LN	7
8909358264_K	8909358264	Cervix	7
8909358264_L	8909358264	ileocecal_LN	7
8909358275_A	8909358275	Colon	7
8909358275_B	8909358275	genital_pelvic_LN	7
8909358275_C	8909358275	Jejunum	7
8909358275_D	8909358275	Liver	7
8909358275_F	8909358275	Brain_Lymphocyte	10
8909358275_G	8909358275	mesenteric_LN	10
8909358275_H	8909358275	pararectal_paracolonic	10
8909358275_I	8909358275	Mid_Vagina	10
8909358275_J	8909358275	mesenteric_LN	7
8909358275_K	8909358275	Liver	7
8909358275_L	8909358275	Rectum	7
8909358279_A	8909358279	Uterus	10
8909358279_B	8909358279	axillary_LN	10
8909358279_C	8909358279	Inguinal_LN	10
8909358279_D	8909358279	Thymus	7
8909358279_F	8909358279	Duodenum	10
8909358279_G	8909358279	Jejunum	10
8909358279_H	8909358279	Inguinal_LN	10
8909358279_I	8909358279	Splenocytes	10
8909358279_J	8909358279	genital_pelvic_LN	10
8909358279_K	8909358279	Jejunum	7
8909358279_L	8909358279	mesenteric_LN	10
8909358294_A	8909358294	Liver	10
8909358294_B	8909358294	ileocecal_LN	10
8909358294_C	8909358294	Colon	10
8909358294_D	8909358294	Tonsil	10
8909358294_E	8909358294	ileocecal_LN	7
8909358294_F	8909358294	Blood	7
8909358294_G	8909358294	genital_pelvic_LN	10
8909358294_I	8909358294	Uterus	7
8909358294_K	8909358294	Blood	10
8909358294_L	8909358294	genital_pelvic_LN	7
8981245016_A	8981245016	pararectal_paracolonic	7
8981245016_C	8981245016	Jejunum	7
8981245016_D	8981245016	Ileum	7
8981245016_E	8981245016	Liver	7
8981245016_F	8981245016	Lung	7
8981245016_G	8981245016	Mid_Vagina	7
8981245016_H	8981245016	mesenteric_LN	7
8981245016_I	8981245016	axillary_LN	7
8981245016_J	8981245016	Cervix	7
8981245016_K	8981245016	Tonsil	7
8981245016_L	8981245016	Brain_Lymphocyte	7
8981245020_A	8981245020	Splenocytes	7
8981245020_C	8981245020	Blood	7
8981245020_D	8981245020	Ileum	7
8981245020_E	8981245020	Lung	7
8981245020_F	8981245020	Uterus	7
8981245020_G	8981245020	Thymus	7
8981245020_I	8981245020	Duodenum	7
8981245020_J	8981245020	Colon	7
8981245020_K	8981245020	axillary_LN	7
8981245020_L	8981245020	Inguinal_LN	7
8981245021_A	8981245021	Blood	7
8981245021_B	8981245021	Splenocytes	7
8981245021_C	8981245021	Duodenum	7
8981245021_D	8981245021	Colon	7
8981245021_E	8981245021	ileocecal_LN	7
8981245021_F	8981245021	Thymus	7
8981245021_H	8981245021	Inguinal_LN	7
8981245021_I	8981245021	Bone_Marrow	7
8981245021_J	8981245021	Rectum	7
8981245021_K	8981245021	genital_pelvic_LN	7
8981245021_L	8981245021	Cecum	7
8981245022_A	8981245022	Brain_Lymphocyte	7
8981245022_C	8981245022	ileocecal_LN	7
8981245022_D	8981245022	genital_pelvic_LN	7
8981245022_E	8981245022	Cecum	7
8981245022_F	8981245022	mesenteric_LN	7
8981245022_G	8981245022	Cervix	7
8981245022_H	8981245022	pararectal_paracolonic	7
8981245022_I	8981245022	Tonsil	7
8981245022_J	8981245022	Jejunum	7
8981245022_K	8981245022	Bone_Marrow	7
8981245022_L	8981245022	Liver	7
8981245037_A	8981245037	Cecum	7
8981245037_B	8981245037	Jejunum	7
8981245037_C	8981245037	Ileum	7
8981245037_D	8981245037	Mid_Vagina	7
8981245037_E	8981245037	ileocecal_LN	7
8981245037_F	8981245037	Splenocytes	7
8981245037_G	8981245037	Tonsil	7
8981245037_H	8981245037	Cervix	7
8981245037_I	8981245037	Rectum	7
8981245037_J	8981245037	axillary_LN	7
8981245037_K	8981245037	Duodenum	7
8981245037_L	8981245037	Bone_Marrow	7
8981245042_A	8981245042	Blood	7
8981245042_B	8981245042	Lung	7
8981245042_C	8981245042	Brain_Lymphocyte	7
8981245042_D	8981245042	Inguinal_LN	7
8981245042_E	8981245042	CSF	7
8981245042_F	8981245042	mesenteric_LN	7
8981245042_G	8981245042	Colon	7
8981245042_H	8981245042	pararectal_paracolonic	7
8981245042_I	8981245042	Thymus	7
8981245042_J	8981245042	genital_pelvic_LN	7
8981245042_K	8981245042	Liver	7
8981245042_L	8981245042	Uterus	7
9021212001_A	9021212001	Uterus	7
9021212001_B	9021212001	Cecum	7
9021212001_C	9021212001	Ileum	10
9021212001_D	9021212001	Lung	7
9021212001_E	9021212001	Colon	7
9021212001_F	9021212001	Rectum	7
9021212001_G	9021212001	Cervix	7
9021212001_H	9021212001	Mid_Vagina	7
9021212001_I	9021212001	Cecum	10
9021212001_J	9021212001	Cervix	7
9021212001_K	9021212001	Brain_Lymphocyte	7
9021212001_L	9021212001	Colon	10
9023874014_E	9023874014	Bone_Marrow	7
9031313003_A	9031313003	Lung	7
9031313003_B	9031313003	genital_pelvic_LN	10
9031313003_C	9031313003	Uterus	10
9031313003_D	9031313003	Duodenum	7
9031313003_E	9031313003	Blood	7
9031313003_F	9031313003	Thymus	7
9031313003_G	9031313003	genital_pelvic_LN	7
9031313003_H	9031313003	Duodenum	7
9031313003_J	9031313003	Cervix	10
9031313003_K	9031313003	Splenocytes	7
9031313003_L	9031313003	mesenteric_LN	7
9031313009_A	9031313009	Jejunum	7
9031313009_B	9031313009	mesenteric_LN	7
9031313009_C	9031313009	ileocecal_LN	7
9031313009_D	9031313009	Inguinal_LN	7
9031313009_E	9031313009	Inguinal_LN	10
9031313009_F	9031313009	Splenocytes	10
9031313009_G	9031313009	Rectum	10
9031313009_H	9031313009	Brain_Lymphocyte	7
9031313009_J	9031313009	Liver	7
9031313009_K	9031313009	Bone_Marrow	10
9031313009_L	9031313009	Blood	7
9031313012_A	9031313012	Duodenum	7
9031313012_B	9031313012	Bone_Marrow	7
9031313012_C	9031313012	Rectum	7
9031313012_D	9031313012	Cecum	7
9031313012_E	9031313012	ileocecal_LN	10
9031313012_F	9031313012	pararectal_paracolonic	7
9031313012_H	9031313012	Jejunum	10
9031313012_I	9031313012	axillary_LN	7
9031313012_J	9031313012	Tonsil	10
9031313012_K	9031313012	Tonsil	7
9031313012_L	9031313012	Cecum	10
9031313013_B	9031313013	Thymus	7
9031313013_C	9031313013	Duodenum	10
9031313013_D	9031313013	Thymus	10
9031313013_E	9031313013	ileocecal_LN	7
9031313013_F	9031313013	Blood	10
9031313013_G	9031313013	Tonsil	10
9031313013_I	9031313013	Tonsil	7
9031313013_J	9031313013	Liver	7
9031313013_K	9031313013	axillary_LN	10
9031313013_L	9031313013	Splenocytes	7
