"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"1" -0.898566050966397 0.0596311520930018 10.6445870922424 72.1093428563299 7.96128487572313e-13 3.74403305135507e-08 "ILMN_1660723" "RDH13"
"2" -0.309732117813944 0.0241457765465112 7.72863871797256 62.233052634355 5.67188482903787e-12 1.33368699869996e-07 "ILMN_1719303" "P4HB"
"3" -0.352431061401616 0.0206566282240369 8.5941926381866 57.1590346314731 1.71533815694928e-11 2.68896409483369e-07 "ILMN_1754235" "SLC35C2"
"5" -0.16845100049319 0.00871666313532853 7.1076239485185 53.0100998488457 4.49339603587326e-11 4.22630857550096e-07 "ILMN_3251451" "MED31"
"6" -0.416565854241317 0.0348191174415602 9.0298813226533 49.0033668755372 1.20452729114335e-10 8.37073617675638e-07 "ILMN_3251440" "PIK3C2A"
"7" 0.425472245717394 -0.0315630699577261 8.90692730476697 48.8701035988856 1.24596311213096e-10 8.37073617675638e-07 "ILMN_1674217" "ATP11A"
"8" -0.0722761765122542 0.0124655626688318 6.63628872890855 47.4853677099234 1.77797825116362e-10 1.04518451494654e-06 "ILMN_1663538" "CLYBL"
"9" -0.185412986717144 0.023213806186991 6.76855005569082 46.0157319490969 2.61520766672658e-10 1.36653317945353e-06 "ILMN_1699598" "AP2M1"
"11" -0.346439653163678 0.0311313692189379 9.20453420561761 42.9536793409972 6.02098961310361e-10 2.57413726840942e-06 "ILMN_1688124" "LOC407835"
"13" 0.392974059525643 -0.0323145990218252 7.6784640200301 40.0382704264616 1.38743023514405e-09 5.01908223833497e-06 "ILMN_1679666" "SCGB3A1"
"14" -0.813585486896616 0.10805047590113 7.77210402672465 39.6784763283924 1.54255375359599e-09 5.18165842315087e-06 "ILMN_3249152" "VSX2"
"17" -0.341972809813637 0.0233690897639541 7.72124956501259 38.1236063337258 2.45809541466349e-09 6.43623732992039e-06 "ILMN_2189668" "NUDT11"
"18" -0.305919752246426 0.0277018426216077 7.02418801647856 38.1164141856994 2.46347435439668e-09 6.43623732992039e-06 "ILMN_1719664" "PTPN21"
"19" -0.228609306894458 0.0184482566500071 7.2713684140788 37.7811519824503 2.72859474513005e-09 6.65588298257806e-06 "ILMN_3311070" "MIR33B"
"23" -0.31395146544479 0.0254568674740595 7.72337651498178 36.8259994738917 3.66372787106112e-09 7.49120844870705e-06 "ILMN_2207419" "INTS6L"
"26" -0.265125317079669 0.0224874655721829 8.64242779526712 36.3005874819117 4.31820437715462e-09 7.81063520957029e-06 "ILMN_1651490" "CYP26A1"
"27" -0.403900439448331 0.0320338536944886 7.27102158878021 35.9854306932609 4.76935415550851e-09 8.28798695264176e-06 "ILMN_1815361" "XIAP"
"28" -0.243930616678445 0.0212212157234169 7.72980480494164 35.877849073131 4.93458438959703e-09 8.28798695264176e-06 "ILMN_2278246" "PDE11A"
"29" -0.314002734502798 0.02572120503962 7.20737426139247 35.7192348142549 5.18935326689452e-09 8.41534156674192e-06 "ILMN_2380999" "RECQL"
"30" -0.396164842243427 0.0230785951986701 10.253949671895 35.1825348387797 6.1600432725915e-09 9.65648383411443e-06 "ILMN_1758085" "LRR1"
"31" 0.461452577449982 -0.0415019354879552 8.09000657987955 34.789142816167 6.99295687325954e-09 1.00187026139945e-05 "ILMN_1765851" "TRADD"
"33" -0.459947022249543 0.0754947096533445 7.75015911643961 34.7321152810626 7.12327918002767e-09 1.00187026139945e-05 "ILMN_3310578" "MIR548Q"
"34" -0.466078722273513 0.0742870679982309 7.40976798681303 34.6805838159497 7.24325697192765e-09 1.00187026139945e-05 "ILMN_2404539" "TMEM230"
"37" -0.170891501369033 0.0123390421622043 7.14141140964538 33.5758832901949 1.04043765675413e-08 1.32242438167117e-05 "ILMN_3296436" "LOC100130992"
"38" -0.372275363660895 0.0537982819178941 8.00402553222662 33.3125701571347 1.13557524144604e-08 1.40536401196643e-05 "ILMN_2180582" "PNPLA8"
"40" -0.416042374652437 0.0617475851475566 7.91429596463318 32.9414042024774 1.28564782099628e-08 1.51153614314533e-05 "ILMN_1683923" "MT1H"
"42" -0.108923947531629 0.00697481091859435 6.82794991312842 32.1221771061923 1.6964628364128e-08 1.81795469611834e-05 "ILMN_1706775" "GCK"
