"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"4" -0.958671889393891 0.0700462204549243 10.1195306712608 30.9230718175341 3.33770973667408e-08 0.000347331942039627 "ILMN_1660723" "RDH13"
"6" -0.137970585034263 0.00324181285487338 8.07343541092765 27.8720675323967 9.78705412480989e-08 0.000767109302302599 "ILMN_1793263" "C1orf94"
"8" -0.662074154737356 0.0500107152699989 7.99374115701741 24.0427778242898 4.22001000945991e-07 0.00240179382989494 "ILMN_1761275" "FUT6"
"9" -0.164346156140361 0.0124407484476338 6.78800400744992 23.8295198097991 4.59644136877062e-07 0.00240179382989494 "ILMN_1738657" "SATB2"
"10" -0.131877082839811 0.00991320994021071 6.61047525152627 22.6928256494826 7.30512358660402e-07 0.00338396098323871 "ILMN_1721564" "FANCD2OS"
"11" 0.12525316659454 -0.00640618309331744 8.69198758390672 22.4993547712979 7.91519324989917e-07 0.00338396098323871 "ILMN_3237209" "TOMM40"
"13" -0.720814040438505 0.0553987300207588 9.79817622621014 20.5345416403287 1.83011714849386e-06 0.00634213013397284 "ILMN_1758085" "LRR1"
"14" 0.371922632603188 -0.0360962205033587 8.18016743768099 20.4634891771011 1.88802036819809e-06 0.00634213013397284 "ILMN_2275760" "TFAP2A"
"15" -0.231652763592821 0.0418920020772077 9.42313217820353 19.9793590652165 2.33823766777549e-06 0.00643281622996648 "ILMN_1709626" "IFI27L1"
"16" -0.667054633154597 0.0496182177817579 7.21005996563102 19.9654287761822 2.35277114806104e-06 0.00643281622996648 "ILMN_1755051" "EFHC1"
"17" -0.706695764159872 0.054150409986936 9.53604097261288 19.8658805054172 2.45946512920245e-06 0.00643281622996648 "ILMN_3260910" "CSAG3"
"18" -0.474184580405095 0.0383710195569363 6.92899351440733 19.8634214130267 2.4621649259887e-06 0.00643281622996648 "ILMN_2204332" "FRYL"
"20" -0.319872353241038 0.0508326709537935 7.03841006464576 19.0215211410265 3.60075498195405e-06 0.00846681526456675 "ILMN_1702055" "ROPN1B"
"21" -0.473085812844052 0.067879225389833 7.31623845578562 18.852817468097 3.88999639482475e-06 0.00871136906932468 "ILMN_1672559" "ADGRF1"
"22" -0.522854256111447 0.0416360108073167 6.80015964570592 18.7181146302979 4.13865084746461e-06 0.0088469305479348 "ILMN_1766657" "STOM"
"23" -0.0743366248236993 0.0108767080622869 6.81379747036575 18.4146040020234 4.76294698236265e-06 0.00943867850754599 "ILMN_3237409" "DGAT1"
"24" -0.217129347521724 0.00663338341584826 9.30115246916857 18.2237919495506 5.2060962273577e-06 0.00943867850754599 "ILMN_1789244" "SOX8"
"26" -0.131588069717924 0.0109502606086628 6.72866597078294 18.152836621009 5.38188605939252e-06 0.00943867850754599 "ILMN_3248707" "KCNQ1OT1"
"28" -0.433658432688932 0.0305561824533959 7.7535469936163 18.0162236459991 5.73834806091073e-06 0.00943867850754599 "ILMN_2195015" "MRGPRE"
"31" -0.175491175498924 0.0145555735934207 6.80856207816548 17.6063688834964 6.96664097555647e-06 0.0105300231767439 "ILMN_3231601" "LINC01061"
"33" -0.193846773181441 0.0157943698118636 7.01196139937423 17.4571985913409 7.48061481683985e-06 0.0105300231767439 "ILMN_1786254" "DLGAP4"
"34" 0.00934329568881161 0.00357689482855815 6.75984102368875 17.4187402398099 7.61955662780268e-06 0.0105300231767439 "ILMN_1801044" "DOCK4"
"35" 0.0623401299094917 -0.00292180432395295 13.8472440395442 17.3600671837435 7.83683786650582e-06 0.0105300231767439 "ILMN_3309774" "MIR324"
"37" -0.280252146876268 0.0227654191026189 7.00074279814391 17.2294454754202 8.34455983206911e-06 0.0105441974419007 "ILMN_3308753" "SNORD114-1"
"38" -0.151752256762263 0.00982914092591986 6.7856942196488 17.1862590602858 8.52002004746587e-06 0.0105441974419007 "ILMN_1804697" "TBC1D8B"
