"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"1" -0.053186283093659 -0.00360988230001333 9.69744225198007 63.0805440770609 4.11228525997623e-12 1.93392551206162e-07 "ILMN_3226904" "NOP2"
"2" -0.241495688570046 0.0349870492125438 6.77211064857394 56.2946327085415 1.83115753356075e-11 4.30578382441475e-07 "ILMN_1795404" "SPOP"
"3" -0.353649190665821 0.0482180128529248 8.05105651636672 52.0295767756873 5.03480731530431e-11 7.89256394747103e-07 "ILMN_2180582" "PNPLA8"
"4" -0.368305526520185 0.0575557535267045 6.93848810409599 45.3860144112718 2.77688216046742e-10 3.26478035606154e-06 "ILMN_1775121" "CCDC177"
"6" -0.217300587364806 0.0383974507846739 7.86220527064263 41.6210045753589 7.94012334286376e-10 6.22346867613661e-06 "ILMN_2316236" "HOPX"
"11" 0.276979588771996 -0.0143917372110422 10.9215782006157 37.8552126607937 2.43551591476057e-09 1.01047044539248e-05 "ILMN_3212737" "B3GALT5-AS1"
"12" -0.115591971132776 0.0169814149703135 6.88618299991861 37.6703001532853 2.57838848020535e-09 1.01047044539248e-05 "ILMN_1750459" "ANKRD36"
"13" 1.26122922009028 -0.092642359758308 11.3301189844789 37.2739883440569 2.9153688188548e-09 1.05464588317772e-05 "ILMN_1750661" "FBXW9"
"14" -0.906485035945319 0.0640377362547495 10.6907748843918 34.9026710866999 6.19843990894553e-09 1.91411389464017e-05 "ILMN_1660723" "RDH13"
"15" 0.308371090327597 -0.0135929529911356 9.55962955272343 34.8265420075634 6.35398975026764e-09 1.91411389464017e-05 "ILMN_1805469" "KRTAP19-5"
"16" 0.328340689305298 -0.015398770574756 9.30318255193541 34.7510851057289 6.51225276733918e-09 1.91411389464017e-05 "ILMN_1710697" "BUD31"
"18" -0.0657751735253009 0.00163450190477407 7.21595854936315 33.9359114003478 8.51465791657084e-09 2.22459629166941e-05 "ILMN_1703635" "EEF1D"
"19" -0.00439390776149737 0.00961897614709245 7.89458958420726 33.1239194322641 1.11692103248671e-08 2.76455591135711e-05 "ILMN_1730867" "AZU1"
"20" -0.439555536518385 0.0619379754672916 6.90820156568256 32.868614461179 1.21751533666987e-08 2.86286556264553e-05 "ILMN_2365196" "PDCD10"
"21" -0.205439706584322 0.039426829630307 10.4024916558979 32.3099232456872 1.47267641487257e-08 3.10964154842391e-05 "ILMN_1709626" "IFI27L1"
"22" -0.11483789963053 0.004707755455187 9.09023108792809 32.2343708179958 1.51131126723515e-08 3.10964154842391e-05 "ILMN_1703005" "EIF3F"
"24" 0.00220740524647357 -0.00746194179591032 8.32897148771419 31.8199086196993 1.74325015482436e-08 3.41589867837833e-05 "ILMN_1728309" "ALAS1"
"26" -0.57435785929834 0.0422002143976957 9.74534290435979 31.2751844810268 2.10698605234501e-08 3.67383872515417e-05 "ILMN_1903159" "PPM1A"
"27" -0.335013470824784 0.0507085996109001 7.15289871259738 31.2205949890166 2.14763693629894e-08 3.67383872515417e-05 "ILMN_2404539" "TMEM230"
"28" -0.145459027744106 0.022541241246052 6.866433981803 31.1682899819649 2.18736676669892e-08 3.67383872515417e-05 "ILMN_3272227" "PLEKHA6"
"29" -0.10950362004517 0.0313007652509623 9.00563556508158 30.4998810571647 2.76963951709432e-08 4.39090988196655e-05 "ILMN_2358919" "TP53I3"
"30" -0.228230631854714 0.0363020060306127 7.11934860558265 30.4681882557052 2.80103973077734e-08 4.39090988196655e-05 "ILMN_3234936" "EYS"
"32" -0.108362471077533 0.0157345082414809 6.65121934012646 29.5689738587179 3.8691690058194e-08 5.52497829514643e-05 "ILMN_1677866" "FOLH1B"
"34" 1.01222512268235 -0.0734105554128881 11.1943532387663 29.4323328835675 4.06606727037888e-08 5.624088576217e-05 "ILMN_1676222" "C16orf89"
"35" -0.397046294326628 0.0610489181460278 7.91532703420745 29.2127180175105 4.40509594147178e-08 5.91893862672957e-05 "ILMN_1717677" "ZFHX2"
"36" 0.0181349654855412 0.000419708516353896 6.51109949011872 28.7104942127026 5.29811077315093e-08 6.78260584832823e-05 "ILMN_3228863" "MARCH10"
"37" -0.0547898309615754 0.00995273871429547 6.76902975735666 28.6910543660965 5.33631913728299e-08 6.78260584832823e-05 "ILMN_2410194" "SPRED3"
"38" -0.287431640315622 0.0143715306054974 8.66922296941327 28.6152486366159 5.48812445391558e-08 6.79198728470373e-05 "ILMN_1786069" "DMD"
"39" -0.136016537562121 0.00645563169834092 9.15035105781809 28.272969300819 6.23280094492602e-08 7.51579904712771e-05 "ILMN_3244506" "CRSP8P"
"40" 0.0573643601121007 -0.000386464558739232 7.74497915113622 28.0789932554001 6.70171876757818e-08 7.77307851110906e-05 "ILMN_3176040" "RPS27A"
"42" -0.0901854423243329 0.0133163222377192 6.93929460049368 27.5291063248681 8.24587023778325e-08 9.23301870339217e-05 "ILMN_1772848" "LINC00898"
"44" -0.184148715925669 0.0118211298524306 7.38106074956871 27.3161054767228 8.94165929207092e-08 9.32188038113066e-05 "ILMN_2371079" "HTR3A"
"45" -0.391239644151392 0.0673510469476859 8.66581873116793 27.2265006834661 9.25271122428623e-08 9.32188038113066e-05 "ILMN_2264916" "EDNRB"
"47" -0.526421621955035 0.0962420516137498 8.24215881420691 27.0907874434359 9.74584323514895e-08 9.32188038113066e-05 "ILMN_2399363" "CLEC4A"
