"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"1" -0.330293507209868 0.0166687972638891 10.2207743462442 34.8452408153373 1.43607650397534e-08 0.000357104314696055 "ILMN_1758085" "LRR1"
"4" -0.793830772671431 0.0447014475532072 9.79340950217191 30.4326888650433 5.80119846203519e-08 0.000682046903181477 "ILMN_1660723" "RDH13"
"5" -0.438485171913211 0.0283493643541436 8.42523934754542 29.3709759476865 8.28290394875353e-08 0.000779056813803962 "ILMN_1761275" "FUT6"
"6" -0.366848673375124 0.0205240168230411 10.0179657505521 27.8183841007146 1.41624189425449e-07 0.00103510827821906 "ILMN_3260910" "CSAG3"
"7" -0.529295783899748 0.0340652532372912 9.48265440690452 27.103714701117 1.82480290222035e-07 0.00103510827821906 "ILMN_1903159" "PPM1A"
"8" -0.252616299510161 0.0462478620953785 6.97589529537388 27.0862674938932 1.8362278175353e-07 0.00103510827821906 "ILMN_1775121" "CCDC177"
"10" -0.360665227703359 0.0669133600798775 7.69146290357663 26.4393872891453 2.31859832730829e-07 0.00109039042136654 "ILMN_1672559" "ADGRF1"
"11" -0.243111681919911 0.045403754076137 7.14806002039549 25.8700079171561 2.85563297656e-07 0.00122086097837876 "ILMN_2365196" "PDCD10"
"12" -0.0975131352803744 0.0156996719168758 6.67426428759547 25.0280712253621 3.90680096085492e-07 0.00153107529655904 "ILMN_3242462" "UHRF1BP1"
"13" 0.00817411691675761 0.0189304716420714 10.090577991765 24.4777240191425 4.81227706838825e-07 0.0017408597382474 "ILMN_1709626" "IFI27L1"
"15" -0.593535285312722 0.0431640769326738 7.3997859383923 23.4135176151211 7.26165437460462e-07 0.00213978462063239 "ILMN_1755051" "EFHC1"
"16" -0.315234828310494 0.0731244342609699 8.38521385689319 23.407067690435 7.28003613381776e-07 0.00213978462063239 "ILMN_2399363" "CLEC4A"
"18" -0.108292423983068 0.0269696133089649 7.89249224335821 22.8607437956833 9.0324885081736e-07 0.00235988816423549 "ILMN_2316236" "HOPX"
"19" 0.779601874450543 -0.0690345137478326 9.04390616817499 21.9024597810439 1.32868437841933e-06 0.00321176441299717 "ILMN_2144064" "RNF138P1"
"21" -0.188705907821835 0.0355941640431199 7.35578679996054 21.7022660322554 1.44206828804022e-06 0.00321176441299717 "ILMN_1683923" "MT1H"
"22" 0.516517752132285 -0.0490543818805631 10.1285496017542 21.6023404877467 1.50248399008969e-06 0.00321176441299717 "ILMN_1703487" "LMO4"
"23" -0.0367441729667063 0.0195599307972003 8.43380339786355 21.1473543764034 1.81378425146312e-06 0.00366316212314312 "ILMN_3241469" "RNF181"
"24" -0.0710990622067483 0.0115604230913411 6.65934679546049 21.0748550561931 1.86943716414551e-06 0.00366316212314312 "ILMN_3238570" "EIF3CL"
"25" -0.0583367080761413 0.0125548638752033 6.82674464139731 20.915610610902 1.99817271643287e-06 0.0037588026603362 "ILMN_1723520" "CD1A"
"26" 1.35830677660577 -0.110502161318725 11.40084463656 20.4565159160949 2.42513471095307e-06 0.00417809265741573 "ILMN_1676222" "C16orf89"
"27" 0.417523520535415 -0.0343880796353492 7.84428720119616 20.4511911437386 2.43062346771716e-06 0.00417809265741573 "ILMN_1670523" "PPP6R2"
"28" -0.154223977274725 0.0123055816987573 7.10085072396394 20.2315761677884 2.66895042486414e-06 0.00417809265741573 "ILMN_2282019" "SYN3"
"29" 1.10363840656618 -0.096103286415984 10.2034656118987 20.1901179049011 2.71667380331949e-06 0.00417809265741573 "ILMN_1760361" "DNASE2B"
"30" 0.0435813083847355 0.00660439753321283 8.23664631288424 20.1164531163798 2.80372986100829e-06 0.00417809265741573 "ILMN_1770556" "SLC26A10"
"32" -0.078200917290758 0.00787013007364542 6.46675018594258 20.0840466707704 2.84296514921543e-06 0.00417809265741573 "ILMN_3240160" "PTENP1"
